SalesOrderNumber,FiscalYear,FiscalQuarter,SalesTerritoryRegion,ProductCategoryName,ProductSubcategoryName,ProductGroupName,OrderStatus,OrderQuantity,UnitPrice,Profit,SalesAmount,Return
SO44243,2012,1,China,Gaming Gear,Apparel,Accessories,Shipped,1,20.99,$17.98 ,$20.99 ,FALSE
SO43808,2012,1,Germany,Gaming Gear,Apparel,Accessories,Shipped,1,20.99,$17.98 ,$20.99 ,FALSE
SO44204,2012,1,Southwest,PC Components,CPU Coolers,Air Coolers,Shipped,1,99.99,$21.41 ,$99.99 ,FALSE
SO44173,2012,1,United Kingdom,PC Components,CPU Coolers,Air Coolers,Shipped,1,99.99,$21.41 ,$99.99 ,FALSE
SO43750,2012,1,Australia,Gaming Gear,Apparel,Apparel,Shipped,1,24.99,$8.39 ,$24.99 ,FALSE
SO43924,2012,1,Australia,Gaming Gear,Apparel,Apparel,Shipped,1,24.99,$8.39 ,$24.99 ,FALSE
SO43757,2012,1,China,Gaming Gear,Apparel,Apparel,Shipped,1,24.99,$8.39 ,$24.99 ,FALSE
SO43942,2012,1,China,Gaming Gear,Apparel,Apparel,Shipped,1,24.99,$8.39 ,$24.99 ,FALSE
SO43958,2012,1,China,Gaming Gear,Apparel,Apparel,Shipped,1,119,$105.74 ,$119.00 ,FALSE
SO44220,2012,1,China,Gaming Gear,Apparel,Apparel,Shipped,1,119,$105.74 ,$119.00 ,FALSE
SO44230,2012,1,China,Gaming Gear,Apparel,Apparel,Shipped,1,24.99,$8.39 ,$24.99 ,FALSE
SO43789,2012,1,Northwest,Gaming Gear,Apparel,Apparel,Shipped,1,32,$16.46 ,$32.00 ,FALSE
SO43983,2012,1,Northwest,Gaming Gear,Apparel,Apparel,Shipped,1,60,$26.27 ,$60.00 ,FALSE
SO43771,2012,1,Southwest,Gaming Gear,Apparel,Apparel,Shipped,1,119,$105.74 ,$119.00 ,FALSE
SO43729,2012,1,United Kingdom,Gaming Gear,Apparel,Apparel,Shipped,1,32,$16.46 ,$32.00 ,FALSE
SO44044,2012,1,United Kingdom,Gaming Gear,Apparel,Apparel,Shipped,1,119,$105.74 ,$119.00 ,FALSE
SO44168,2012,1,Australia,Streaming Gear,Audio,Audio,Shipped,1,39.99,$29.76 ,$39.99 ,FALSE
SO44005,2012,1,Canada,Streaming Gear,Audio,Audio,Shipped,1,39.99,$29.76 ,$39.99 ,FALSE
SO43744,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,FALSE
SO43819,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,FALSE
SO43948,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,9.99,$2.21 ,$9.99 ,FALSE
SO44019,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,129.99,$41.16 ,$129.99 ,FALSE
SO44024,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,9.99,$2.21 ,$9.99 ,FALSE
SO44147,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,True
SO44149,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,FALSE
SO44244,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,129.99,$41.16 ,$129.99 ,FALSE
SO44263,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,39.99,$29.76 ,$39.99 ,FALSE
SO44266,2012,1,China,Streaming Gear,Audio,Audio,Shipped,1,9.99,$2.21 ,$9.99 ,FALSE
SO43718,2012,1,Northwest,Streaming Gear,Audio,Audio,Shipped,1,9.99,$2.21 ,$9.99 ,FALSE
SO43805,2012,1,Northwest,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,FALSE
SO43838,2012,1,Southwest,Streaming Gear,Audio,Audio,Shipped,1,29.99,$4.37 ,$29.99 ,FALSE
SO43968,2012,1,Southwest,Streaming Gear,Audio,Audio,Shipped,1,159.99,$146.67 ,$159.99 ,FALSE
SO43941,2012,1,United Kingdom,Streaming Gear,Audio,Audio,Shipped,1,9.99,$2.21 ,$9.99 ,FALSE
SO44252,2012,1,United Kingdom,Streaming Gear,Audio,Audio,Shipped,1,39.99,$29.76 ,$39.99 ,FALSE
SO43944,2012,1,China,Gaming Gear,Apparel,Bags,Shipped,1,99.99,$68.52 ,$99.99 ,FALSE
SO43998,2012,1,China,Gaming Gear,Apparel,Bags,Shipped,1,99.99,$68.52 ,$99.99 ,FALSE
SO44256,2012,1,China,Gaming Gear,Apparel,Bags,Shipped,1,99.99,$68.52 ,$99.99 ,FALSE
SO44065,2012,1,Southwest,Gaming Gear,Apparel,Bags,Shipped,1,99.99,$68.52 ,$99.99 ,FALSE
SO43751,2012,1,Australia,Streaming Gear,Capture,Capture,Shipped,1,179.99,$161.27 ,$179.99 ,FALSE
SO44006,2012,1,China,Streaming Gear,Capture,Capture,Shipped,1,129.99,$122.08 ,$129.99 ,FALSE
SO44231,2012,1,Australia,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$10.09 ,$29.99 ,FALSE
SO43769,2012,1,Canada,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$7.90 ,$19.99 ,FALSE
SO43836,2012,1,Canada,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$7.73 ,$29.99 ,FALSE
SO44070,2012,1,Canada,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,24.99,$22.83 ,$24.99 ,FALSE
SO43761,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,24.99,$7.10 ,$24.99 ,FALSE
SO43777,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$7.90 ,$19.99 ,FALSE
SO43929,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$7.90 ,$19.99 ,FALSE
SO43977,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO43992,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO44165,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO44182,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO44248,2012,1,China,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO43737,2012,1,Germany,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$21.66 ,$39.99 ,FALSE
SO44216,2012,1,Germany,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$7.73 ,$29.99 ,FALSE
SO43723,2012,1,Northwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,39.99,$18.81 ,$39.99 ,FALSE
SO43741,2012,1,Northwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$7.73 ,$29.99 ,FALSE
SO43754,2012,1,Northwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$7.90 ,$19.99 ,FALSE
SO43990,2012,1,Northwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,24.99,$7.10 ,$24.99 ,FALSE
SO44156,2012,1,Northwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$10.09 ,$29.99 ,FALSE
SO43702,2012,1,Southwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$7.73 ,$29.99 ,FALSE
SO43713,2012,1,Southwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$1.65 ,$19.99 ,FALSE
SO43930,2012,1,Southwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,29.99,$10.09 ,$29.99 ,FALSE
SO43996,2012,1,Southwest,Gaming Gear,Mousepads,Cloth Surface Mouse Pads,Shipped,1,19.99,$1.65 ,$19.99 ,FALSE
SO44069,2012,1,Australia,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,136.23 ","$3,499.99 ",FALSE
SO43743,2012,1,China,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,136.23 ","$3,499.99 ",FALSE
SO43793,2012,1,China,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,766.99 ","$3,499.99 ",FALSE
SO43933,2012,1,China,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,2899.99,$517.02 ,"$2,899.99 ",FALSE
SO43965,2012,1,China,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,136.23 ","$3,499.99 ",FALSE
SO44048,2012,1,China,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,766.99 ","$3,499.99 ",True
SO44192,2012,1,Germany,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,766.99 ","$3,499.99 ",FALSE
